Timestamp,Process Path,Forecast Utilization,WIP Count,Throughput,Headcount,Downtime (min)
2026-06-04 05:00:00,PC Singles,104.9%,87,112,9,0
2026-06-04 05:00:00,PC Multis,98.3%,65,134,11,0
2026-06-04 05:00:00,Slam,72.1%,42,168,13,0
2026-06-04 05:00:00,Sorter/Chutes,68.4%,38,175,12,5
2026-06-04 05:00:00,Dock/Loadout,81.2%,55,145,10,0
2026-06-04 05:30:00,PC Singles,101.2%,82,118,10,3
2026-06-04 05:30:00,PC Multis,95.7%,61,128,11,0
2026-06-04 05:30:00,Slam,69.8%,40,171,14,0
2026-06-04 05:30:00,Sorter/Chutes,65.2%,35,180,12,0
2026-06-04 05:30:00,Dock/Loadout,78.9%,50,152,11,0
2026-06-04 11:00:00,PC Singles,108.3%,95,105,8,5
2026-06-04 11:00:00,PC Multis,103.1%,78,115,9,0
2026-06-04 11:00:00,Slam,76.5%,45,160,12,0
2026-06-04 11:00:00,Sorter/Chutes,71.9%,41,165,13,0
2026-06-04 11:00:00,Dock/Loadout,89.4%,62,138,10,8
2026-06-04 13:00:00,PC Singles,112.7%,102,98,8,0
2026-06-04 13:00:00,PC Multis,99.8%,70,130,10,0
2026-06-04 13:00:00,Slam,74.3%,44,162,13,0
2026-06-04 13:00:00,Sorter/Chutes,67.8%,37,172,12,0
2026-06-04 13:00:00,Dock/Loadout,92.1%,68,132,9,0
